city,state,hisp_count,hisp_MOE
Fort Collins,CO,25670,615
Fort Dodge,IA,1139,130
Fort Irwin,CA,1915,710
Fort Madison IA,IL,768,127
Fort Meade,FL,1652,456
Fort Morgan,CO,5518,389
Fort Payne,AL,2473,675
Fort Polk,LA,1675,253
Fort Smith,AR,16375,404
Fort Stockton,TX,7320,355
Fortuna,CA,1620,354
Fortuna Foothills,AZ,6406,835
Fort Walton Beach,FL,11168,733
Fort Wayne,IN,20347,435
Fostoria,OH,1446,271
Frankfort,IN,3733,143
Frankfort,KY,1152,107
Franklin,NJ,2535,507
Frederick,OK,969,171
Fredericksburg,TX,2507,320
Fredericksburg,VA,10079,706
Freeport,IL,1021,131
Freer,TX,2129,182
Fremont,NE,2815,257
Fremont,OH,2967,333
Fresno,CA,262129,2579
Friona,TX,2869,249
Fruita,CO,1402,350
Gadsden,AL,2342,398
Gainesville,FL,15280,649
Gainesville,GA,31492,1136
Gainesville,TX,4361,313
Galesburg,IL,2210,125
Galliano,LA,1244,402
Gallup,NM,7711,530
Galveston,TX,14627,1127
Garden City,KS,15090,422
Gardnerville Ranchos,NV,1535,449
Gastonia,NC,10138,435
Gatesville,TX,2352,541
Geneva,NY,1996,311
Georgetown,DE,2723,658
Georgetown,KY,1250,236
Georgetown,TX,11297,1169
George West,TX,1531,290
Gettysburg,PA,867,368
Giddings,TX,2169,385
Gillette,WY,1959,321
Gilman,IL,690,113
Gilroy Morgan Hill,CA,43084,2483
Glencoe,MN,1070,216
Glenwood Springs,CO,3339,748
Globe,AZ,5290,570
Gloversville,NY,891,188
Goldsboro,NC,3713,593
Gonzales,CA,6954,334
Gonzales,TX,3593,344
Gooding,ID,1061,295
Goodyear North,AZ,979,533
Goshen,NY,1795,421
Graham,TX,1647,238
Granbury,TX,2948,447
Grand Forks,MD,1851,246
Grand Island,NE,11598,180
Grand Junction,CO,15068,581
Grand Rapids,MI,54257,1080
Grand Saline,TX,744,192
Grandview,WA,8057,419
Grants,NM,6908,414
Grants Pass,OR,3744,311
Grass Valley,CA,3295,525
Great Bend,KS,2889,192
Greater Sun Center,FL,7630,1059
Great Falls,MT,2461,100
Greeley,CO,40900,1356
Green Bay,WI,15656,206
Greeneville,TN,1238,261
Greenfield,CA,13011,723
Greenfield,MA,1153,268
Green Forest,AR,1030,219
Green Pastures,TX,3854,962
Green River,WY,1403,237
Greensboro,NC,20271,1014
Green Valley,AZ,2482,488
Greenville,NC,3185,563
Greenville,SC,26710,1195
Greenville,TX,5994,474
Greenwood,SC,2252,367
Gridley,CA,3620,527
Groesbeck,TX,813,493
Guadalupe,CA,5742,229
Guayama,PR,76764,1464
Gulfport Biloxi,MS,8322,507
Gun Barrel City,TX,1188,396
Gunnison,UT,593,187
Gustine,CA,2897,391
Guymon,OK,4756,463
Gypsum,CO,1614,484
Hagerstown MD WV,PA,4866,583
Hailey,ID,2372,481
Half Moon Bay,CA,4750,813
Hammond,LA,1728,464
Hammonton,NJ,1874,465
Hanford,CA,35363,1228
Hanover,PA,2429,528
Harlingen,TX,94384,2266
Harrisburg,PA,19978,794
Harrisonburg,VA,8138,387
Hartford,CT,128157,1116
Hartford,MI,927,221
Harvard,IL,2833,534
Hastings,NE,2176,45
Hattiesburg,MS,2068,352
Havelock,NC,2721,450
Hazleton,PA,10218,669
Hearne,TX,1602,264
Heavener,OK,1513,278
Hebbronville,TX,3908,503
Heber,UT,2371,141
Hebert (Federal Correctional Institution),TX,1480,185
Helena,MT,1152,160
Hemet,CA,59737,2323
Hempstead,TX,912,364
Henderson,NC,1555,543
Henderson,TX,1857,285
Hereford,TX,10824,432
Hermiston,OR,9326,737
Hickory,NC,15299,852
Hidalgo East,TX,4268,751
High Point,NC,10684,1145
Hightstown,NJ,8608,1007
Hillsboro,TX,3130,337
Hilo,HI,5431,712
Hilton Head Island,SC,5206,678
Hines,TX,2751,662
Hinesville,GA,5164,325
Hobbs,NM,16949,752
Holbrook,AZ,1040,285
Holland,MI,17620,883
Hollister,CA,24970,1013
Holtville,CA,5156,402
Homedale,ID,1062,206
Hondo,TX,4523,510
Honolulu,HI,57966,1187
Hood River OR,WA,3546,527
Hope,AR,2057,225
Hopkinsville,KY,1557,406
Hot Springs,AR,3448,332
Houma,LA,3857,530
Houston,TX,1646898,3695
Hubert,NC,844,375
Hudson,NY,597,188
Hugoton,KS,1422,109
Huntington WV KY,OH,1648,256
Huntsville,AL,11128,574
Huntsville,TX,6884,589
Huron,CA,6691,15
Hutchinson,KS,4035,237
Idaho Falls,ID,9670,299
Imlay City,MI,1358,223
Immokalee,FL,13307,1697
Incline Village-Crystal Bay NV,CA,4665,1004
Indianapolis,IN,84408,811
Indiantown,FL,4209,1006
Indio Cathedral City Palm Springs,CA,146990,3099
Interlachen,FL,928,310
Inverness,FL,2199,439
Ione,CA,1957,249
Iowa City,IA,4182,312
Irrigon,OR,737,230
Islamorada Village of Islands,FL,3774,517
Ithaca,NY,3270,221
Ivanhoe,CA,3587,769
Jacksboro,TX,797,153
Jackson,CA,865,263
Jackson,MI,3578,363
Jackson,MS,6188,511
Jackson,TN,2538,242
Jacksonville,FL,66962,1048
Jacksonville,NC,11191,637
Jacksonville,TX,4951,548
Jamestown,NY,2428,350
Janesville,WI,3540,708
Jasper,TX,836,220
Jayuya,PR,11183,752
Jefferson City,MO,1504,122
Jerome,ID,3382,402
Johnson (Beto Units),TX,2098,285
Johnson City,TN,3535,328
Johnstown,PA,1198,197
Johnstown Milliken,CO,1823,455
Jonesboro,AR,3002,316
Joplin,MO,2671,454
Juana D�az,PR,52488,1332
Junction,TX,862,237
Junction City,KS,4591,412
Juneau South,AK,595,183
Kahului,HI,5127,775
Kailua (Hawaii County) Holualoa,HI,2964,814
Kailua (Honolulu County) Kaneohe,HI,10736,1016
Kalaheo,HI,1784,381
Kalamazoo,MI,8728,229
Kankakee,IL,6718,466
Kansas City,MO,134211,1126
Kapaa,HI,2027,451
Kapaau,HI,550,209
Karnes City,TX,2889,1021
Kaufman,TX,2199,331
Kearney,NE,2119,197
Kenedy,TX,3122,420
Kennewick Richland,WA,51101,1310
Kenosha,WI,16594,407
Kerman,CA,7464,853
